Summary,Custom field (Requirement ID),Description,Custom field (Requirement Rationale)
SC1000,SC1000,"Upon receipt of a No-Op command, SC shall increment the SC Valid Command Counter and generate an event message.",Debug command to verify application is alive.
SC1001,SC1001,"Upon receipt of a Reset command, SC shall reset the following housekeeping variables to a value of zero:
a)       Valid Command Counter
b)       Command Rejected Counter
c)       ATS Command Counter
d)       ATS Command Error Counter
e)       RTS Command Counter
f)        RTS Command Error Counter
g)       Number of RTS Started Counter
h)       Number of RTS Started Error Counter",Important for testing and on-orbit flight operations in order to start with a “clean slate”.
SC1002,SC1002,"For all SC commands, if the length contained in the message header is not equal to the expected length, SC shall reject the command and issue an event message.",Basic command verification in the event of SEU or memory corruption
SC1004,SC1004,"If SC accepts any command as valid, SC shall execute the command, increment the SC Valid Command Counter and issue an event message.","Operators require feedback on command execution.
"
SC1005,SC1005,"If SC rejects any command, SC shall abort the command execution, increment the SC Command Rejected Counter and issue an error event message.","Operators require feedback on command execution.
"
SC2000,SC2000,SC shall define <PLATFORM_DEFINED> bytes of storage for each of two (2) Absolute Time-tagged command Sequence (ATS) tables.,"One table will be used for uploads, while the other is executing."
SC2000.1,SC2000.1,SC shall resolve time to 1 second for Absolute Time Command Sequences (ATS).,Heritage missions have shown that this is adequate resolution.
SC2000.2,SC2000.2,SC shall accept a maximum of <PLATFORM_DEFINED> commands per ATS.,Required in order to bound the command number.
SC2000.3,SC2000.3,"SC shall accept a variable number of variable length commands from each ATS. Each ATS command shall contain:
a)       A command number
b)       A time tag denoting the time at which to execute the command
c)       A variable length command",
SC2000.4,SC2000.4,SC shall use the <PLATFORM_DEFINED> time format (UTC or TAI).,"Provides flexibility on time format.
"
SC2001,SC2001,"Upon receipt of a table update indication for an ATS Table, SC shall validate the following for the ATS table:
a)       Duplicate command numbers
b)       Invalid command lengths
c)       Commands that run off of the end of the table
d)       Command number",SC application needs to validate the table to ensure gross errors are caught.  cFE Table Services handles the ground interface to tables. 
SC2002,SC2002,SC shall allocate <PLATFORM_DEFINED> Relative Time-tagged Sequences (RTSs) with each capable of storing <PLATFORM_DEFINED>  bytes of stored command data.,Specifies the limits for table sizing purposes.
SC2002.1,SC2002.1,SC shall track a wakeup count for Relative Time Command Sequences (RTS).,
SC2002.2,SC2002.2,SC shall accept variable length packed RTS commands within the <PLATFORM_DEFINED> byte relative time-tagged sequences.,
SC2002.3,SC2002.3,"Each individual command within the sequence shall consist of:
a)       A relative wakeup count
b)       A variable length command",
SC2003,SC2003,"Upon receipt of a table update indication for an RTS Table, SC shall set the RTS status to DISABLED.","Since the RTS definition table does not include a default state, safer to assume disabled."
SC2004,SC2004,"SC shall execute commands in the ATS table in ascending order, based upon the time-tag of the commands, regardless of the order in which the commands are stored in the ATS table.","Allows flexibility in ground system tools and load generation (command location within an ATS doesn’t matter; Time matters)."
SC2005,SC2005,SC shall execute no more than <PLATFORM_DEFINED> commands per wakeup cycle from all currently executing RTS tables and/or ATS tables.,Provides bounds on SC processing.
SC2005.1,SC2005.1,"SC shall defer execution of pending RTS commands, when the combined execution count, of ATS and RTS, exceeds the command per wakeup limit.",
SC2005.2,SC2005.2,SC shall allow up to the maximum number of defined RTSs to be active concurrently.,RTSs can run concurrently. The limitation is the number of commands that can be sent in one wakeup cycle.
SC2006,SC2006,SC shall execute the RTSs in priority order based on the RTS number where RTS #1 has the highest priority.,"Provides a known order to the processing of RTSs so that missions can organize the RTSs appropriately.
"
SC2007,SC2007,SC shall define <PLATFORM_DEFINED> bytes of storage for an ATS Append Table.,
SC2007.1,SC2007.1,The ATS Append Table format is the same as the ATS tables,
SC2008,SC2008,Upon receipt of an Apply ATS Append Table command SC shall append the ATS Append Table contents to the command-specified ATS table..,
SC2008.1,SC2008.1,The Append command may be performed on either ATS table.,
SC2008.2,SC2008.2,If the number of entries in the ATS and ATS Append Table exceeds the size of the ATS table SC shall reject the Apply ATS Append Table command.,
SC2008.3,SC2008.3,The Apply ATS Append Table command shall add all ATS Append Table data to the end of the command-specified ATS table.,
